,data_collected_date,channel_id,reply_id,reply_authorDisplayName,reply_textDisplay,reply_textOriginal,reply_parentId,reply_canRate,reply_likeCount,reply_publishedAt_datetime,reply_textDisplay_sentiment
0,2024-10-26 14:15:30.669170,UC57J3B28hGWBb4FIwgBIavw,UgzgXSPNBKoI87_MJmJ4AaABAg.A9PVAmxmAIAA9PWbEIvxTX,@banjo_rontv,Hehehe maraming salamat po enjoy listening while Washing hehehe,Hehehe maraming salamat po enjoy listening while Washing hehehe,UgzgXSPNBKoI87_MJmJ4AaABAg,1,7,2024-10-10 08:55:35,POSITIVE
1,2024-10-26 14:15:32.245178,UC57J3B28hGWBb4FIwgBIavw,UgzgXSPNBKoI87_MJmJ4AaABAg.A9PVAmxmAIAA9ne2mB8NUs,@emelitarendon7367,😊😊😊😊,😊😊😊😊,UgzgXSPNBKoI87_MJmJ4AaABAg,1,1,2024-10-20 03:10:24,NEGATIVE
2,2024-10-26 14:15:33.057276,UC57J3B28hGWBb4FIwgBIavw,UgzgXSPNBKoI87_MJmJ4AaABAg.A9PVAmxmAIAA9qIdsxOYY8,@bethsolera5559,Galing,Galing,UgzgXSPNBKoI87_MJmJ4AaABAg,1,1,2024-10-21 03:52:21,POSITIVE
3,2024-10-26 14:15:34.723478,UC57J3B28hGWBb4FIwgBIavw,UgxmdNlyvv6FIEIr7qh4AaABAg.A9ykbF6GP4ZA9yuFeVWNE8,@banjo_rontv,Thank you so much enjoy listening,Thank you so much enjoy listening,UgxmdNlyvv6FIEIr7qh4AaABAg,1,0,2024-10-24 12:03:37,POSITIVE
4,2024-10-26 14:15:36.420348,UC57J3B28hGWBb4FIwgBIavw,UgwhDSb22NFTMsL_VKJ4AaABAg.A9xjrwBpHZ3A9xqBS6HzTc,@banjo_rontv,Thank you so much enjoy listening ingat po SA biyahe,Thank you so much enjoy listening ingat po SA biyahe,UgwhDSb22NFTMsL_VKJ4AaABAg,1,0,2024-10-24 02:08:51,POSITIVE
5,2024-10-26 14:15:38.169879,UC57J3B28hGWBb4FIwgBIavw,UgxY7kjO2YSwbdf8DTJ4AaABAg.A9uyM7lYsyrA9uysqCA4cT,@banjo_rontv,@@FedericoAcibron right hand drive po ang sasakyan boss SA Hong Kong po yan,@@FedericoAcibron right hand drive po ang sasakyan boss SA Hong Kong po yan,UgxY7kjO2YSwbdf8DTJ4AaABAg,1,0,2024-10-22 23:27:06,NEGATIVE
6,2024-10-26 14:15:40.649151,UC57J3B28hGWBb4FIwgBIavw,UgybB8xQMQYOOeCrT1l4AaABAg.A9ogD6qE2q1A9ogVnH_0zE,@banjo_rontv,@@ArlynDamolo salamat po enjoy listening,@@ArlynDamolo salamat po enjoy listening,UgybB8xQMQYOOeCrT1l4AaABAg,1,0,2024-10-20 12:51:05,POSITIVE
7,2024-10-26 14:15:43.100355,UC57J3B28hGWBb4FIwgBIavw,Ugx52N1I0gLzELcbhnZ4AaABAg.A9naimxUrLlA9nbS6PQRb4,@banjo_rontv,@@yanidacara6527 thank you so much enjoy watching our way going to  NGONG PING VILLAGE big Buddha,@@yanidacara6527 thank you so much enjoy watching our way going to  NGONG PING VILLAGE big Buddha,Ugx52N1I0gLzELcbhnZ4AaABAg,1,0,2024-10-20 02:47:39,POSITIVE
8,2024-10-26 14:15:45.503326,UC57J3B28hGWBb4FIwgBIavw,UgwvIQjjuawy2bKP1st4AaABAg.A9hP8ThH95ZA9hRr4q5s4Z,@banjo_rontv,Salamat po enjoy watching,Salamat po enjoy watching,UgwvIQjjuawy2bKP1st4AaABAg,1,0,2024-10-17 17:19:38,POSITIVE
9,2024-10-26 14:15:48.005250,UC57J3B28hGWBb4FIwgBIavw,UgzJXBKsQPVaeS4e3sN4AaABAg.A9bVmNTbEe-A9bbEs2P5pj,@banjo_rontv,@@TOP.DISCO.MIX.90 thank you so much enjoy listening,@@TOP.DISCO.MIX.90 thank you so much enjoy listening,UgzJXBKsQPVaeS4e3sN4AaABAg,1,0,2024-10-15 10:54:57,POSITIVE
10,2024-10-26 14:15:49.656268,UC57J3B28hGWBb4FIwgBIavw,UgzOV5QXzcBmZwzu5Pt4AaABAg.A9aaRN9sSvaA9adf1TSyDF,@banjo_rontv,Yes po SA Hong Kong po yan salamat po enjoy watching,Yes po SA Hong Kong po yan salamat po enjoy watching,UgzOV5QXzcBmZwzu5Pt4AaABAg,1,0,2024-10-15 01:56:54,POSITIVE
11,2024-10-26 14:15:52.069969,UC57J3B28hGWBb4FIwgBIavw,UgxDSnz5GoAjubai-yN4AaABAg.A9aEtnJfzrtA9aHxJzKbDC,@banjo_rontv,@@NickeyManubay salamat po enjoy listening 🎧,@@NickeyManubay salamat po enjoy listening 🎧,UgxDSnz5GoAjubai-yN4AaABAg,1,0,2024-10-14 22:38:25,POSITIVE
12,2024-10-26 14:15:53.714406,UC57J3B28hGWBb4FIwgBIavw,UgxIdXRlTVvp1Z3BprV4AaABAg.A9_KQKdtDG_A9_MSl9eHwo,@banjo_rontv,@@JBALFARO maraming salamat po enjoy listening,@@JBALFARO maraming salamat po enjoy listening,UgxIdXRlTVvp1Z3BprV4AaABAg,1,0,2024-10-14 13:58:34,POSITIVE
13,2024-10-26 14:15:55.971029,UC57J3B28hGWBb4FIwgBIavw,Ugwe5snd2sDopmM1OMd4AaABAg.A9XIurXcZeUA9XK197zT78,@banjo_rontv,@@tessnakamura3594 maraming salamat po,@@tessnakamura3594 maraming salamat po,Ugwe5snd2sDopmM1OMd4AaABAg,1,0,2024-10-13 09:39:35,NEGATIVE
14,2024-10-26 14:15:57.730073,UC57J3B28hGWBb4FIwgBIavw,UgyzuryMPDf1KOFfQ1p4AaABAg.A9XHtc-BUxqA9XK4-FBWFJ,@banjo_rontv,@@bethpunzalan thank you so much,@@bethpunzalan thank you so much,UgyzuryMPDf1KOFfQ1p4AaABAg,1,0,2024-10-13 09:39:59,POSITIVE
15,2024-10-26 14:16:00.068929,UC57J3B28hGWBb4FIwgBIavw,Ugwc_0KQI-HS_6IMfz14AaABAg.A9V81myh1EGA9V9y1TV3iv,@banjo_rontv,@@AlmaAlba-wf6qh thank you so much,@@AlmaAlba-wf6qh thank you so much,Ugwc_0KQI-HS_6IMfz14AaABAg,1,0,2024-10-12 13:33:10,POSITIVE
16,2024-10-26 14:16:01.725026,UC57J3B28hGWBb4FIwgBIavw,UgzbP8aV3mgluQvsOFB4AaABAg.A9Tnv8pSnyyA9TsEA4wxqQ,@banjo_rontv,@@mommycjgergina1647 hehehe way back 2000 ganyan din po pasalubong ko galing manila  hehehe,@@mommycjgergina1647 hehehe way back 2000 ganyan din po pasalubong ko galing manila  hehehe,UgzbP8aV3mgluQvsOFB4AaABAg,1,0,2024-10-12 01:30:14,NEGATIVE
17,2024-10-26 14:16:03.348752,UC57J3B28hGWBb4FIwgBIavw,UgxMCAs7Z56izTRT-PN4AaABAg.A9TNMdT_bU-A9TkxKxdGz9,@banjo_rontv,@@RoldanGomboy salamat dol ingat sa biyahe,@@RoldanGomboy salamat dol ingat sa biyahe,UgxMCAs7Z56izTRT-PN4AaABAg,1,0,2024-10-12 00:26:38,NEGATIVE
18,2024-10-26 14:16:05.066337,UC57J3B28hGWBb4FIwgBIavw,UgyfhhxWHgUlGfsBPch4AaABAg.A9RsON_UvOEA9S0Hpk2oJa,@banjo_rontv,@@LorenaEsmeralda-xb9vi thank you so much enjoy listening,@@LorenaEsmeralda-xb9vi thank you so much enjoy listening,UgyfhhxWHgUlGfsBPch4AaABAg,1,0,2024-10-11 08:10:54,POSITIVE
19,2024-10-26 14:16:06.690874,UC57J3B28hGWBb4FIwgBIavw,Ugw9-np283rmledC4DB4AaABAg.A9RShmrKDGlA9RTkJPup3w,@banjo_rontv,@@frutorecanatv844 maraming salamat lods,@@frutorecanatv844 maraming salamat lods,Ugw9-np283rmledC4DB4AaABAg,1,0,2024-10-11 03:09:05,NEGATIVE
20,2024-10-26 14:16:09.229603,UC57J3B28hGWBb4FIwgBIavw,UgyWbloUIb6hwQVHYw94AaABAg.A9MvKjYMljuA9Mw6CNfSo-,@banjo_rontv,@@bermastvlog4001 katangahan talaga?  Ganyan po talaga kalsada at SA Hong Kong po yan  for your information!,@@bermastvlog4001 katangahan talaga?  Ganyan po talaga kalsada at SA Hong Kong po yan  for your information!,UgyWbloUIb6hwQVHYw94AaABAg,1,0,2024-10-09 08:49:25,NEGATIVE
21,2024-10-26 14:16:09.995225,UC57J3B28hGWBb4FIwgBIavw,UgyWbloUIb6hwQVHYw94AaABAg.A9MvKjYMljuA9MxSoVSUoB,@BigBoy2478,"@bermastvlog4001 ikaw  lang  po cguro  Ang tanga  at di nagbabasa  ng caption, nakita  mong  two way may ganyang  way sa ibang  bansa  at double  decker  yong  bus, palibhasa  taga bundok  la cguro  hehehe  peace  you....😂","@bermastvlog4001 ikaw  lang  po cguro  Ang tanga  at di nagbabasa  ng caption, nakita  mong  two way may ganyang  way sa ibang  bansa  at double  decker  yong  bus, palibhasa  taga bundok  la cguro  hehehe  peace  you....😂",UgyWbloUIb6hwQVHYw94AaABAg,1,0,2024-10-09 09:01:15,NEGATIVE
22,2024-10-26 14:16:10.718637,UC57J3B28hGWBb4FIwgBIavw,UgyWbloUIb6hwQVHYw94AaABAg.A9MvKjYMljuA9N5xdocdbi,@jobethmusicblog,hahaha baka ikaw  Ang tanga  bermastvlog,hahaha baka ikaw  Ang tanga  bermastvlog,UgyWbloUIb6hwQVHYw94AaABAg,1,0,2024-10-09 10:24:14,NEGATIVE
23,2024-10-26 14:16:12.475372,UC57J3B28hGWBb4FIwgBIavw,UgzGse8pjLHAFbfgjx54AaABAg.A9MLRNqAYyHA9MM27Md95a,@banjo_rontv,@@TRENDINGOPMTAGALOG thank you so much God bless 🙏,@@TRENDINGOPMTAGALOG thank you so much God bless 🙏,UgzGse8pjLHAFbfgjx54AaABAg,1,0,2024-10-09 03:25:33,POSITIVE
24,2024-10-26 14:16:15.702080,UC57J3B28hGWBb4FIwgBIavw,UgyhenuhybTLy1-d8TZ4AaABAg.A9M9naqpo3AA9MBp0NhGwz,@banjo_rontv,Thank you so much enjoy watching while listening to the beat of music,Thank you so much enjoy watching while listening to the beat of music,UgyhenuhybTLy1-d8TZ4AaABAg,1,1,2024-10-09 01:56:15,POSITIVE
25,2024-10-26 14:16:16.476057,UC57J3B28hGWBb4FIwgBIavw,UgyhenuhybTLy1-d8TZ4AaABAg.A9M9naqpo3AA9MCYXMDOln,@MariaCelAgoilo,@@banjo_rontv welcome sir,@@banjo_rontv welcome sir,UgyhenuhybTLy1-d8TZ4AaABAg,1,1,2024-10-09 02:02:36,POSITIVE
26,2024-10-26 14:16:18.328657,UC57J3B28hGWBb4FIwgBIavw,UgyIgUAz612TjYV670t4AaABAg.A9LpYmgjrb4A9LqfABL1gf,@banjo_rontv,@@JomarieBernales-s9f right hand drive po KC yan hehehe,@@JomarieBernales-s9f right hand drive po KC yan hehehe,UgyIgUAz612TjYV670t4AaABAg,1,1,2024-10-08 22:42:40,NEGATIVE
27,2024-10-26 14:16:19.843810,UC57J3B28hGWBb4FIwgBIavw,UgwtQ6RBrDkVt4oFXot4AaABAg.A9LI1ULX4NcA9LJZ_AU_8O,@banjo_rontv,@@DaniloMarcelino-d9h maraming salamat po enjoy,@@DaniloMarcelino-d9h maraming salamat po enjoy,UgwtQ6RBrDkVt4oFXot4AaABAg,1,0,2024-10-08 17:44:40,POSITIVE
